# Battino yields
# Model: m2z1m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.682099511659186
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Tc-103         1.3185e-99     1.0000e-99
Tc-104         1.3185e-99     1.0000e-99
Tc-105         1.3185e-99     1.0000e-99
Ru-94          1.3185e-99     1.0000e-99
Ru-95          1.3185e-99     1.0000e-99
Ru-96          3.7537e-12     2.9283e-12
Ru-97          1.1126e-23     1.0000e-99
Ru-98          1.3008e-12     1.0080e-12
Ru-99          9.3396e-12     6.9516e-12
Ru-100         4.9379e-11     6.9341e-12
Ru-101         2.1114e-11     9.4836e-12
Ru-102         7.9680e-11     1.7713e-11
Ru-103         6.0123e-22     1.0000e-99
Ru-104         1.5585e-11     1.0659e-11
Ru-105         5.5400e-25     1.0000e-99
Ru-106         2.9580e-29     1.0000e-99
Rh-98          1.3185e-99     1.0000e-99
Rh-99          1.3185e-99     1.0000e-99
Rh-100         1.3185e-99     1.0000e-99
Rh-101         1.3185e-99     1.0000e-99
Rh-102         1.3185e-99     1.0000e-99
Rh-103         2.3751e-11     1.0556e-11
Rh-104         9.8866e-30     1.0000e-99
Rh-105         1.9566e-23     1.0000e-99
Rh-106         3.8280e-60     1.0000e-99
Rh-107         1.3185e-99     1.0000e-99
Rh-108         1.3185e-99     1.0000e-99
Pd-99          1.3185e-99     1.0000e-99
Pd-100         1.3185e-99     1.0000e-99
Pd-101         1.3185e-99     1.0000e-99
Pd-102         5.4324e-13     4.2450e-13
Pd-103         3.7355e-23     1.0000e-99
Pd-104         3.6445e-11     4.7271e-12
Pd-105         2.0327e-11     9.5665e-12
Pd-106         5.2134e-11     1.1820e-11
Pd-107         7.3545e-12     1.0000e-99
Pd-108         6.2198e-11     1.1660e-11
Pd-109         7.7955e-23     1.0000e-99
Pd-110         9.2954e-12     5.2601e-12
Pd-111         2.6885e-28     1.0000e-99
Pd-112         4.6673e-58     1.0000e-99
Ag-101         1.3185e-99     1.0000e-99
Ag-102         1.3185e-99     1.0000e-99
Ag-103         1.3185e-99     1.0000e-99
Ag-104         1.3185e-99     1.0000e-99
Ag-105         1.3185e-99     1.0000e-99
